epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,41599.5,0.7819,0.43021,1.01952,0.77406,0.83126,0.80325,0.55723,1.05611,0.58602,1.17908,0.00439,0.00439,0.00439
87,42078.4,0.76833,0.42623,1.01478,0.77173,0.83426,0.80339,0.55744,1.05632,0.58639,1.17939,0.004324,0.004324,0.004324
88,42558.5,0.77181,0.42471,1.01388,0.78028,0.82648,0.80311,0.55731,1.05682,0.58742,1.17976,0.004258,0.004258,0.004258
89,43039.5,0.76988,0.42251,1.01167,0.78129,0.8254,0.80331,0.55732,1.05714,0.58784,1.18005,0.004192,0.004192,0.004192
90,43521.3,0.7683,0.42145,1.01464,0.78236,0.82569,0.80366,0.55739,1.0571,0.58822,1.18005,0.004126,0.004126,0.004126
91,44004.6,0.76538,0.41842,1.01233,0.78106,0.82766,0.80408,0.55777,1.05718,0.58862,1.18065,0.00406,0.00406,0.00406
92,44487.4,0.75902,0.41377,1.00641,0.77918,0.83055,0.80356,0.55762,1.0575,0.58942,1.18097,0.003994,0.003994,0.003994
93,44970.2,0.74604,0.41108,1.00621,0.77889,0.83068,0.80259,0.55755,1.05806,0.58927,1.18137,0.003928,0.003928,0.003928
94,45453.1,0.75153,0.4092,1.00292,0.77704,0.83117,0.80243,0.5574,1.05856,0.58857,1.18192,0.003862,0.003862,0.003862
95,45935.2,0.75398,0.41428,1.00681,0.78215,0.82773,0.80238,0.55807,1.0591,0.58957,1.18232,0.003796,0.003796,0.003796
96,46417.7,0.75205,0.41448,1.00402,0.78024,0.82947,0.80274,0.55812,1.05976,0.58969,1.18263,0.00373,0.00373,0.00373
97,46900.9,0.7475,0.40751,1.00146,0.78449,0.82545,0.80252,0.55815,1.06054,0.59012,1.18308,0.003664,0.003664,0.003664
98,47386.5,0.74615,0.4051,1.00118,0.78721,0.82209,0.80217,0.55777,1.06074,0.59087,1.18323,0.003598,0.003598,0.003598
99,47870.8,0.74271,0.40372,0.99611,0.78707,0.82167,0.80193,0.55756,1.06086,0.59131,1.1834,0.003532,0.003532,0.003532
100,48352.6,0.7431,0.40308,1.00073,0.78888,0.82166,0.80254,0.55743,1.06109,0.5909,1.18378,0.003466,0.003466,0.003466
101,48836.5,0.73494,0.39826,0.99836,0.7871,0.82298,0.80184,0.55726,1.06141,0.59169,1.18409,0.0034,0.0034,0.0034
102,49319.1,0.73901,0.40212,0.99779,0.78622,0.82384,0.80205,0.55778,1.062,0.59121,1.18453,0.003334,0.003334,0.003334
103,49801.4,0.73716,0.39775,0.99157,0.78481,0.82534,0.80168,0.55751,1.06277,0.59066,1.18506,0.003268,0.003268,0.003268
104,50283.1,0.72932,0.39024,0.99203,0.7861,0.82468,0.80171,0.55766,1.06353,0.5905,1.18587,0.003202,0.003202,0.003202
105,50768.5,0.72804,0.39151,0.98985,0.78707,0.82219,0.80142,0.55743,1.06435,0.59046,1.18699,0.003136,0.003136,0.003136
106,51254.6,0.71856,0.39002,0.98858,0.78736,0.8208,0.80192,0.5581,1.06494,0.59022,1.18774,0.00307,0.00307,0.00307
107,51737.5,0.71923,0.38827,0.98708,0.78729,0.82169,0.80188,0.55815,1.06529,0.59063,1.18794,0.003004,0.003004,0.003004
108,52221.9,0.71934,0.38564,0.98131,0.78939,0.82123,0.8024,0.55839,1.06594,0.59065,1.18844,0.002938,0.002938,0.002938
109,52704.9,0.71918,0.38701,0.98827,0.79041,0.82092,0.80267,0.55815,1.06642,0.59092,1.18881,0.002872,0.002872,0.002872
110,53187.1,0.71202,0.38619,0.98737,0.78962,0.82149,0.8019,0.55806,1.06714,0.5918,1.18971,0.002806,0.002806,0.002806
111,53669.6,0.71174,0.38168,0.98312,0.78839,0.8227,0.80189,0.55825,1.06768,0.59256,1.19,0.00274,0.00274,0.00274
112,54153.8,0.70756,0.37841,0.97997,0.78777,0.82379,0.80277,0.55841,1.06872,0.59346,1.19096,0.002674,0.002674,0.002674
